inning,at_bat_number,pitch_number,pitch_type,description,type,is_strike,balls,strikes,release_speed,plate_x,plate_z,zone,in_zone,exit_velocity_mph,launch_angle,estimated_woba_using_speedangle,is_bip,hard_hit,is_damage,bb_type,events,swing,whiff,chase,game_pk,game_date,inning_topbot,release_spin_rate,pfx_x,pfx_z,hit_distance_sc
1,4,1,FF,called_strike,S,Y,0,0,94.3,0.6859814691735638,3.0922892615205426,3,Y,,,,N,N,N,none,,N,N,N,788103,2026-03-09,Bottom,2063,-0.32923816493014846,0.7380182005718985,
1,4,2,SI,called_strike,S,Y,0,1,94.1,0.4688837696729103,2.311972668447409,6,Y,,,,N,N,N,none,,N,N,N,788103,2026-03-09,Bottom,2034,-0.8417138000543227,0.3411122791968628,
1,4,3,CH,ball,B,N,0,2,88.2,-0.3328311680824656,0.278457938534773,13,N,,,,N,N,N,none,,N,N,N,788103,2026-03-09,Bottom,1717,-0.921367995464227,0.3891470795486905,
1,4,4,CU,swinging_strike_blocked,S,Y,1,2,84.6,0.740744383651394,0.3396562384873828,14,N,,,,N,N,N,none,Strikeout,Y,Y,Y,788103,2026-03-09,Bottom,2475,-0.0762706647981064,-0.2546495937592296,
1,5,1,SI,hit_into_play,X,Y,0,0,94.6,-0.3052112427772368,2.9372353581419914,1,Y,98.9,30.0,,Y,Y,Y,fly_ball,Flyout,Y,N,N,788103,2026-03-09,Bottom,1938,-0.7303983813514585,0.5035605923494493,375.0
1,6,1,ST,ball,B,N,0,0,84.3,0.8098269925503444,1.3315306301776109,14,N,,,,N,N,N,none,,N,N,N,788103,2026-03-09,Bottom,2343,0.13349982066091415,-0.3264445418944213,
1,6,2,FC,ball,B,N,1,0,86.9,1.1781056009349493,1.5878908577701716,14,N,,,,N,N,N,none,,N,N,N,788103,2026-03-09,Bottom,2456,-0.08433687454792471,0.22753727803190582,
1,6,3,SI,hit_into_play,X,Y,2,0,93.9,-0.4808928306853897,2.5739588540478167,4,Y,68.8,-7.0,,Y,N,N,ground_ball,Groundout,Y,N,N,788103,2026-03-09,Bottom,2006,-0.8745632957211399,0.4371314685294818,20.0
2,15,1,SI,hit_into_play,X,Y,0,0,94.0,-0.6027039509505774,2.3887595168801203,4,Y,66.3,-11.0,,Y,N,N,ground_ball,Groundout,Y,N,N,788103,2026-03-09,Bottom,2092,-0.8640457925666314,0.40784060227281804,13.0
2,16,1,SI,ball,B,N,0,0,93.8,-0.6665778418988827,3.456669177186102,1,Y,,,,N,N,N,none,,N,N,N,788103,2026-03-09,Bottom,2008,-0.9675606121614767,0.24279185208599774,
2,16,2,SI,hit_into_play,X,Y,1,0,94.2,-0.48058772136971023,1.994615639002429,7,Y,95.5,-12.0,,Y,Y,Y,ground_ball,Groundout,Y,N,N,788103,2026-03-09,Bottom,2036,-0.9122486214256749,0.3924177284140946,10.0
2,17,1,SI,foul,S,Y,0,0,94.5,0.08353968637496567,2.2330494539377623,5,Y,,,,N,N,N,none,,Y,N,N,788103,2026-03-09,Bottom,2097,-0.7917192476427869,0.5106616615209214,
2,17,2,FF,foul,S,Y,0,1,94.2,-0.022581522412215425,2.766365885995425,2,Y,,,,N,N,N,none,,Y,N,N,788103,2026-03-09,Bottom,2008,-0.7145467246866827,0.5608695121619602,
2,17,3,CH,ball,B,N,0,2,88.2,0.7438083070143452,0.6768630960262999,14,N,,,,N,N,N,none,,N,N,N,788103,2026-03-09,Bottom,1506,-0.8281117893914182,0.35784475577576175,
2,17,4,CH,foul,S,Y,1,2,87.5,-0.6890577825875592,2.0743458823532883,7,Y,,,,N,N,N,none,,Y,N,N,788103,2026-03-09,Bottom,1483,-0.8971729824710174,-0.0008499961243351173,
2,17,5,CH,ball,B,N,1,2,86.9,-1.9722029111585322,2.9000942899988256,11,N,,,,N,N,N,none,,N,N,N,788103,2026-03-09,Bottom,1635,-0.888719801795189,0.054644052171671564,
2,17,6,FF,swinging_strike,S,Y,2,2,93.7,-0.8401655485223328,3.76829508040568,11,N,,,,N,N,N,none,Strikeout,Y,Y,Y,788103,2026-03-09,Bottom,2092,-0.33266090168576623,0.7263887760291783,
3,21,1,FF,ball,B,N,0,0,93.5,-1.6081021579965262,3.1023843925779464,11,N,,,,N,N,N,none,,N,N,N,788103,2026-03-09,Bottom,1977,-0.7623297356039318,0.4342144029168695,
3,21,2,SI,called_strike,S,Y,1,0,92.6,-0.5622689481276434,2.5121280710044305,4,Y,,,,N,N,N,none,,N,N,N,788103,2026-03-09,Bottom,2002,-0.8432679393738406,0.33023910907872356,
