inning,at_bat_number,pitch_number,pitch_type,description,type,is_strike,balls,strikes,release_speed,plate_x,plate_z,zone,in_zone,exit_velocity_mph,estimated_woba_using_speedangle,is_bip,hard_hit,is_damage,bb_type,events,swing,whiff,chase,game_pk,game_date,inning_topbot,release_spin_rate,pfx_x,pfx_z
1,1,1,FF,hit_into_play,X,N,0,0,98.4,0.1390606363413556,2.3469740616916352,5,Y,,,Y,N,N,none,Groundout,Y,N,N,788106,2026-03-08,Top,2197,-0.45270608263759726,0.788790542509758
1,2,1,FF,ball,B,N,0,0,98.5,0.8244159896584885,2.9224400753337667,12,N,,,N,N,N,none,,N,N,N,788106,2026-03-08,Top,2162,-0.566657709566566,0.7817326449146229
1,2,2,FC,ball,B,N,1,0,96.4,1.0337984871369965,1.5321790955191055,14,N,,,N,N,N,none,,N,N,N,788106,2026-03-08,Top,2282,-0.006395090563378947,0.5635176704730824
1,2,3,FC,ball,B,N,2,0,96.6,0.021505420092509376,3.433230010450877,2,Y,,,N,N,N,none,,N,N,N,788106,2026-03-08,Top,2288,0.018878101827417827,0.5560245347513795
1,2,4,FF,called_strike,S,Y,3,0,97.9,0.38370308963913097,2.8690735496268043,3,Y,,,N,N,N,none,,N,N,N,788106,2026-03-08,Top,2154,-0.5785954667776161,0.7636671204628129
1,2,5,SI,called_strike,S,Y,3,1,98.5,0.8038376151861184,2.0898569644067986,9,Y,,,N,N,N,none,,N,N,N,788106,2026-03-08,Top,2186,-0.8396085092767839,0.6811480692337364
1,2,6,SI,foul,S,Y,3,2,98.5,0.6017674230913114,3.2591646018930165,3,Y,,,N,N,N,none,,Y,N,N,788106,2026-03-08,Top,2242,-0.7584181393553032,0.6726212165901435
1,2,7,ST,called_strike,S,Y,3,2,86.0,0.5032926794605405,1.5704610827190844,14,N,,,N,N,N,none,Strikeout,N,N,N,788106,2026-03-08,Top,2694,0.7863542907593523,0.15102761758875283
1,3,1,FF,hit_into_play,X,N,0,0,98.5,0.9533799827865498,2.6131115363429775,12,N,,,Y,N,N,none,Lineout,Y,N,Y,788106,2026-03-08,Top,2313,-0.43837840269069944,0.8375251611617016
2,11,1,FC,swinging_strike,S,Y,0,0,96.2,0.4549211675233303,2.9667828997942642,3,Y,,,N,N,N,none,,Y,Y,N,788106,2026-03-08,Top,2242,-0.08787419280175052,0.7480441953318229
