pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name
ST,2025-08-18,85.4,-2.44,5.53,"Skenes, Paul",665489,694973,field_out,hit_into_play,,,,,9.0,"Vladimir Guerrero Jr. grounds out, third baseman Isiah Kiner-Falefa to first baseman Spencer Horwitz. George Springer scores.",R,R,R,PIT,TOR,X,5.0,ground_ball,1,1,2025,0.56,0.45,0.4414196634958445,2.2256800316864696,543807.0,680718.0,,1,3,Top,99.62,168.91,,,,,5.675727801437728,-124.12616433053762,-2.302455625249802,4.511030896325367,27.905666087791516,-27.32358775196975,3.73,1.61,6.0,103.4,-21.0,85.6,2330.0,6.8,776694,680779,687462,693304,643396,669707,502054,672744,668804,53.75,0.132,0.116,0.0,1.0,0.0,0.0,2.0,21,3,Sweeper,1,0,0,1,1,1,1,1,Infield shade,Standard,91.0,0.003,-0.193,76.6,8.1,0.141,0.193,103.4,1,-1,0.515,0.485,23,26,23,26,2,1,6.0,1.0,6.0,6.0,2.72,-0.56,-0.56,23.8,3.536446333833775,-9.048958681445075,24.808736415503414,41.26019835201948,40.53219649966911,Vladimir Guerrero Jr.
SI,2025-08-18,97.3,-2.49,5.58,"Skenes, Paul",665489,694973,,ball,,,,,13.0,Ball,R,R,R,PIT,TOR,B,,,0,1,2025,-1.47,0.71,-1.663421383649969,2.504485681439548,543807.0,680718.0,,1,3,Top,,,,,,,5.616346257843279,-141.55758722979874,-4.3724837531085194,-21.080781137952588,32.56668831137385,-21.78263169408592,3.75,1.47,,,,97.8,2326.0,6.6,776694,680779,687462,693304,643396,669707,502054,672744,668804,53.92,,,,,,,,21,2,Sinker,1,0,0,1,0,1,0,1,Infield shade,Standard,243.0,-0.009,0.015,,,,-0.015,,1,-1,0.524,0.476,23,26,23,26,2,1,6.0,1.0,6.0,6.0,1.7,1.47,1.47,22.3,,,,,,Vladimir Guerrero Jr.
SI,2025-08-18,97.7,-2.4,5.69,"Skenes, Paul",665489,694973,,called_strike,,,,,4.0,Called Strike,R,R,R,PIT,TOR,S,,,0,0,2025,-1.46,1.05,-0.4450866262205764,2.3679798064326896,543807.0,680718.0,,1,3,Top,,,,,,,8.707463251894668,-141.96153504322365,-5.888736667570798,-21.760125935524982,32.38260565776471,-16.815378295239125,3.85,1.44,,,,98.4,2336.0,6.7,776694,680779,687462,693304,643396,669707,502054,672744,668804,53.76,,,,,,,,21,1,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,237.0,0.014,-0.051,,,,0.051,,1,-1,0.51,0.49,23,26,23,26,2,1,6.0,1.0,6.0,6.0,1.35,1.46,1.46,27.0,,,,,,Vladimir Guerrero Jr.
CH,2025-08-18,89.5,-2.64,5.64,"Skenes, Paul",665489,694973,strikeout,swinging_strike,,,,,13.0,Vladimir Guerrero Jr. strikes out swinging.,R,R,R,PIT,TOR,S,2.0,,2,2,2025,-1.48,0.34,-1.827116102159745,2.262111406793499,,,,2,1,Top,,,,,,,5.154256273259449,-130.1607746588294,-2.9480072648069187,-17.906943084045764,32.60092833546025,-27.856683527735512,3.73,1.61,,,,89.0,1662.0,6.5,776694,680779,687462,693304,643396,669707,502054,672744,668804,54.02,,0.0,0.0,1.0,0.0,0.0,,3,5,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,257.0,0.009,-0.224,31.8,6.0,,0.224,,0,0,0.539,0.4609999999999999,23,26,23,26,1,0,6.0,1.0,6.0,6.0,2.55,1.48,1.48,23.8,-9.244499548836307,12.02027644410736,29.844250333877905,13.731913800073809,25.94833638277898,Vladimir Guerrero Jr.
FF,2025-08-18,99.9,-2.25,5.63,"Skenes, Paul",665489,694973,,swinging_strike,,,,,2.0,Swinging Strike,R,R,R,PIT,TOR,S,,,2,1,2025,-1.06,1.08,0.0576956788311648,3.0633860634689585,,,,2,1,Top,,,,,,,8.890496202836202,-145.07681227213325,-4.167505230788013,-17.122598535260433,37.35023375022752,-16.206877136712052,3.73,1.61,,,,99.8,2448.0,6.6,776694,680779,687462,693304,643396,669707,502054,672744,668804,53.94,,,,,,,,3,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,232.0,0.002,-0.073,78.4,7.0,,0.073,,0,0,0.537,0.4629999999999999,23,26,23,26,1,0,6.0,1.0,6.0,6.0,1.24,1.06,1.06,24.0,-11.679366003022263,17.50110284331454,27.74455804950954,36.61038492511217,20.62505184806991,Vladimir Guerrero Jr.
ST,2025-08-18,83.1,-2.58,5.6,"Skenes, Paul",665489,694973,,called_strike,,,,,4.0,Called Strike,R,R,R,PIT,TOR,S,,,2,0,2025,1.55,0.33,-0.5010254050363869,2.4870449711236073,,,,2,1,Top,,,,,,,1.7180384289441588,-120.86765295126574,-1.2014771517633809,14.603262412438964,27.910449743418603,-28.91690243929357,3.62,1.42,,,,82.8,2467.0,6.6,776694,680779,687462,693304,643396,669707,502054,672744,668804,53.93,,,,,,,,3,3,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,52.0,0.003,-0.066,,,,0.066,,0,0,0.534,0.4659999999999999,23,26,23,26,1,0,6.0,1.0,6.0,6.0,3.02,-1.55,-1.55,24.4,,,,,,Vladimir Guerrero Jr.
SI,2025-08-18,98.4,-2.51,5.7,"Skenes, Paul",665489,694973,,ball,,,,,13.0,Ball,R,R,R,PIT,TOR,B,,,1,0,2025,-1.52,0.57,-1.7757719362903168,2.2832794836025325,,,,2,1,Top,,,,,,,5.543891266091445,-143.11380656779443,-5.110579925124131,-22.16402002417542,35.51165844845779,-23.298802827176548,3.76,1.43,,,,98.3,2383.0,6.5,776694,680779,687462,693304,643396,669707,502054,672744,668804,54.05,,,,,,,,3,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,230.0,-0.003,0.065,,,,-0.065,,0,0,0.537,0.4629999999999999,23,26,23,26,1,0,6.0,1.0,6.0,6.0,1.8,1.52,1.52,26.1,,,,,,Vladimir Guerrero Jr.
SI,2025-08-18,98.5,-2.39,5.65,"Skenes, Paul",665489,694973,,ball,,,,,13.0,Ball,R,R,R,PIT,TOR,B,,,0,0,2025,-1.45,0.42,-0.942615127999542,1.679699242175153,,,,2,1,Top,,,,,,,7.289819027312848,-143.0685660781262,-6.228532106815239,-21.6695549902323,35.18430804325935,-25.12024168476387,3.79,1.5,,,,97.9,2269.0,6.2,776694,680779,687462,693304,643396,669707,502054,672744,668804,54.29,,,,,,,,3,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,237.0,-0.001,0.037,,,,-0.037,,0,0,0.538,0.4619999999999999,23,26,23,26,1,0,6.0,1.0,6.0,6.0,1.95,1.45,1.45,25.3,,,,,,Vladimir Guerrero Jr.
FS,2025-07-27,94.0,-2.84,5.58,"Skenes, Paul",672695,694973,field_out,hit_into_play,,,,,7.0,"Geraldo Perdomo grounds out, second baseman Nick Gonzales to first baseman Spencer Horwitz.",R,L,R,PIT,AZ,X,4.0,ground_ball,2,2,2025,-1.03,0.04,-0.6108469008247808,1.6168885804775042,,,,0,6,Top,147.26,156.24,,,,,8.111558145960025,-136.60972315802323,-4.666533618648072,-14.656316232666814,29.218457403460064,-30.85691632825931,3.52,1.61,4.0,90.3,-21.0,94.7,1623.0,6.7,776984,680779,687462,693304,663647,643396,502054,665833,669261,53.79,0.084,0.069,0.0,1.0,0.0,0.0,2.0,41,8,Split-Finger,3,0,0,3,0,3,0,3,Infield shade,Standard,245.0,0.022,-0.232,77.7,7.0,0.097,0.232,90.3,3,-3,0.865,0.135,23,25,23,26,3,2,6.0,1.0,6.0,1.0,2.54,1.03,-1.03,24.8,2.4148951972379566,1.909236886346304,40.663863746592824,39.95852128650044,21.28983320238062,Geraldo Perdomo
ST,2025-07-27,85.8,-2.7,5.55,"Skenes, Paul",672695,694973,,foul,,,,,7.0,Foul,R,L,R,PIT,AZ,S,,,2,2,2025,0.86,0.38,-0.3486340819697759,1.8521590894786009,,,,0,6,Top,,,,,,,3.849472464932095,-124.79990464598588,-3.216080308237763,8.076778738560062,27.519517598346138,-27.760959040989988,3.52,1.61,5.0,86.0,-23.0,86.2,2136.0,6.8,776984,680779,687462,693304,663647,643396,502054,665833,669261,53.71,,,,,,,,41,7,Sweeper,3,0,0,3,0,3,0,3,Infield shade,Standard,81.0,0.0,0.0,71.1,7.8,,0.0,88.0,3,-3,0.865,0.135,23,25,23,26,3,2,6.0,1.0,6.0,1.0,2.74,-0.86,0.86,26.9,17.360589418519865,-13.962958497891846,35.806130154270505,38.046277593670986,31.976744655472817,Geraldo Perdomo
