mlbam_id,player_name,team,age,games,PA,AB,H,1B,2B,3B,HR,R,RBI,SB,BB,SO,HBP,SF,SH,GIDP,AVG,OBP,SLG,OPS,K_pct,BB_pct,wOBA,xwOBA_on_BIP,HH_pct,GB_pct_on_BIP,EV_avg_on_BIP,LA_avg_on_BIP,bat_speed_avg,swing_length_avg
805367,"Meidroth, Chase",CWS,24,17,61,49,13,7,4,1,1,7,6,3,10,8,2,0,0,0,0.2653,0.4098,0.449,0.8588,13%,16%,,,41%,37%,87.3244,19.122,,
702284,"Young, Cole",SEA,22,18,59,53,16,6,4,0,6,10,18,3,6,14,0,0,0,2,0.3019,0.3729,0.717,1.0899,24%,10%,,,56%,41%,96.1179,12.6667,,
681198,"Rumfield, TJ",COL,25,20,57,49,14,10,0,0,4,8,12,1,5,1,2,1,0,0,0.2857,0.3684,0.5306,0.899,2%,9%,,,47%,37%,89.9125,15.1875,,
690022,"Ritter, Ryan",COL,25,20,57,51,17,11,4,0,2,11,8,3,6,16,0,0,0,1,0.3333,0.4035,0.5294,0.9329,28%,11%,,,40%,43%,89.5371,12.4571,,
701762,"Kurtz, Nick",ATH,22,18,57,48,9,4,3,0,2,9,6,0,8,15,1,0,0,1,0.1875,0.3158,0.375,0.6908,26%,14%,,,48%,48%,95.0214,9.8571,,
687859,"Johnston, Troy",COL,28,20,57,49,17,11,5,1,0,5,6,3,6,10,1,1,0,0,0.3469,0.4211,0.4898,0.9108,18%,11%,,,40%,35%,89.4128,16.8974,,
680574,"McLain, Matt",CIN,26,17,56,51,27,17,2,1,7,18,16,2,5,6,0,0,0,1,0.5294,0.5714,1.0196,1.591,11%,9%,,,56%,31%,92.6378,18.1556,,
687749,"Bowen, Jase",ELP,25,22,56,53,15,5,6,0,4,13,11,7,2,16,1,0,0,0,0.283,0.3214,0.6226,0.9441,29%,4%,,,65%,49%,95.7568,11.4054,,
624413,"Alonso, Pete",BAL,31,18,56,51,14,10,2,0,2,5,3,1,5,8,0,0,0,3,0.2745,0.3393,0.4314,0.7707,14%,9%,,,56%,53%,93.6452,7.119,,
805249,"Kemp, Otto",PHI,26,18,56,50,12,4,4,0,4,11,15,0,5,17,1,0,0,2,0.24,0.3214,0.56,0.8814,30%,9%,,,45%,24%,89.8152,23.0606,,
677060,"Stevens, Chad",COL,27,22,56,40,8,5,1,0,2,8,5,2,13,18,3,0,0,1,0.2,0.4286,0.375,0.8036,32%,23%,,,41%,55%,91.9048,9.619,,
690976,"Freeland, Alex",LAD,24,18,56,43,5,2,2,0,1,3,7,0,11,11,0,2,0,0,0.1163,0.2857,0.2326,0.5183,20%,20%,,,29%,47%,88.2281,9.5938,,
691783,"Lawlar, Jordan",AZ,23,15,55,45,15,10,1,0,4,11,5,1,9,13,0,0,1,0,0.3333,0.4444,0.6222,1.0667,24%,16%,,,48%,39%,90.6576,17.4848,,
682641,"Matos, Luis",SF,24,23,55,50,13,8,3,0,2,7,5,1,1,3,4,0,0,3,0.26,0.3273,0.44,0.7673,5%,2%,,,32%,40%,86.5638,14.0638,,
678246,"Vargas, Miguel",CWS,26,16,54,47,12,6,5,0,1,11,4,1,6,10,0,1,0,1,0.2553,0.3333,0.4255,0.7589,19%,11%,,,42%,39%,90.6158,18.1579,,
701394,"Ehrhard, Zach",LAD,23,20,54,49,16,8,5,3,0,9,8,4,4,10,1,0,0,0,0.3265,0.3889,0.551,0.9399,19%,7%,,,33%,36%,88.8538,14.2821,,
609280,"Andujar, Miguel",SD,31,17,54,45,11,7,1,0,3,9,10,1,6,9,1,2,0,0,0.2444,0.3333,0.4667,0.8,17%,11%,,,34%,45%,86.4658,4.0789,,
664068,"Kingery, Scott",IOW,31,21,54,45,8,6,0,0,2,7,5,5,8,21,1,0,0,0,0.1778,0.3148,0.3111,0.6259,39%,15%,,,33%,25%,87.2043,24.4348,,
687597,"Beck, Jordan",COL,24,16,54,47,14,5,7,0,2,7,4,1,7,16,0,0,0,1,0.2979,0.3889,0.5745,0.9634,30%,13%,,,39%,32%,88.8,19.5,,
664983,"McCarthy, Jake",COL,28,16,54,48,17,12,4,1,0,7,5,6,3,8,1,1,1,1,0.3542,0.3962,0.4792,0.8754,15%,6%,,,38%,52%,83.3571,3.8571,,
807713,"Shaw, Matt",CHC,24,18,54,45,15,11,3,0,1,6,3,7,7,8,1,1,0,0,0.3333,0.4259,0.4667,0.8926,15%,13%,,,50%,32%,89.1368,16.1316,,
694374,"Tawa, Tim",AZ,26,16,54,44,14,9,3,0,2,10,7,0,8,10,1,1,0,0,0.3182,0.4259,0.5227,0.9487,19%,15%,,,49%,43%,90.24,13.2857,,
669701,"Smith, Josh",TEX,28,17,53,41,16,9,3,0,4,10,14,3,12,10,0,0,0,0,0.3902,0.5283,0.7561,1.2844,19%,23%,,,42%,35%,88.6679,18.6786,,
600869,"Candelario, Jeimer",SL,32,18,53,46,11,2,4,1,4,8,10,0,6,16,1,0,0,2,0.2391,0.3396,0.6304,0.9701,30%,11%,,,47%,33%,92.0567,18.7333,,
656582,"Joe, Connor",TAC,33,18,53,47,17,9,6,1,1,9,6,0,5,13,1,0,0,1,0.3617,0.434,0.5957,1.0297,25%,9%,,,50%,47%,88.9441,3.7059,,
669477,"Schmitt, Casey",SF,27,21,53,47,14,13,1,0,0,8,3,2,5,8,1,0,0,1,0.2979,0.3774,0.3191,0.6965,15%,9%,,,26%,38%,86.6605,19.4737,,
665877,"Fermín, José",STL,26,18,53,48,7,6,1,0,0,3,2,1,4,6,0,1,0,0,0.1458,0.2075,0.1667,0.3742,11%,8%,,,35%,51%,87.507,17.4419,,
669720,"Hays, Austin",CWS,30,16,53,50,18,10,4,1,3,11,8,1,2,9,1,0,0,0,0.36,0.3962,0.66,1.0562,17%,4%,,,44%,41%,92.2024,12.878,,
691777,"Muncy, Max",ATH,23,18,52,45,17,7,5,0,5,14,12,1,7,12,0,0,0,2,0.3778,0.4615,0.8222,1.2838,23%,13%,,,55%,36%,92.5,13.3636,,
666464,"Encarnacion, Jerar",SF,28,22,52,51,15,10,3,0,2,4,11,0,0,9,0,1,0,1,0.2941,0.2885,0.4706,0.759,17%,0%,,,51%,40%,95.3738,7.6667,,
666152,"Hamilton, David",MIL,28,17,52,47,14,9,3,1,1,7,10,5,5,8,0,0,0,1,0.2979,0.3654,0.4681,0.8335,15%,10%,,,38%,49%,88.4083,11.4167,,
