mlbam_id,player_name,team,age,games,BF,IP,IP_est,H,ER,RA,ERA,BB,SO,HR,HBP,WHIP,K9,BB9,pitches,Zone_pct,Whiff_pct,Chase_pct,CSW_pct,avg_velo,avg_spin_rpm,xwOBA_on_BIP,HH_pct_against,GB_pct_on_BIP
676440,Tanner Bibee,CLE,26,6,102,23,23.333,32,17,20,6.6522,0,19,6,1,1.3913,7.4348,0,351,0.5014,0.2337,0.3371,0.2764,88.3573,2354.3504,,0.4268,0.3415
701542,Will Warren,NYY,26,5,76,20.333,20.333,12,4,5,1.7705,3,16,1,0,0.7377,7.082,1.3279,282,0.5674,0.2817,0.3279,0.3262,90.5954,2652.2867,,0.4737,0.4211
607067,Colin Rea,CHC,35,6,86,20.333,20.333,19,7,9,3.0984,6,19,5,1,1.2295,8.4098,2.6557,339,0.4867,0.2333,0.2356,0.2832,89.4699,2082.4762,,0.3833,0.4333
680573,Simeon Woods Richardson,MIN,25,6,88,20,19.667,27,13,14,5.85,5,16,1,0,1.6,7.2,2.25,326,0.4847,0.2468,0.3155,0.2791,87.1988,1898.1415,,0.4179,0.4776
519242,Chris Sale,ATL,36,5,77,19.667,19.667,17,6,6,2.7458,3,15,3,0,1.0169,6.8644,1.3729,293,0.4983,0.2979,0.3333,0.3311,87.0068,2267.041,,0.4237,0.5254
592662,Robbie Ray,SF,34,6,72,19.667,18.667,7,3,3,1.3729,10,21,1,1,0.8644,9.6102,4.5763,306,0.4837,0.3099,0.2215,0.268,90.4873,2193.4885,,0.3,0.425
543135,Nathan Eovaldi,TEX,36,5,79,19.333,19.333,20,7,7,3.2586,3,16,3,0,1.1897,7.4483,1.3966,257,0.5875,0.2286,0.3396,0.2957,87.751,1938.5759,,0.4667,0.6
661563,Luis Gil,NYY,27,6,81,19.333,19.333,20,10,11,4.6552,5,24,6,0,1.2931,11.1724,2.3276,356,0.4888,0.2198,0.3571,0.2781,91.9628,2346.8583,,0.4231,0.2692
681190,Randy Vásquez,SD,27,5,74,18.333,18.333,14,10,10,4.9091,5,15,3,1,1.0364,7.3636,2.4545,276,0.5399,0.2014,0.3307,0.2899,91.5,2561.192,,0.5094,0.3585
664285,Framber Valdez,DET,32,4,70,18.333,18,17,2,3,0.9818,2,16,0,0,1.0364,7.8545,0.9818,236,0.5169,0.2377,0.3421,0.2839,88.2335,2213.25,,0.4808,0.5962
690953,Mick Abel,MIN,24,5,66,18,18,12,4,4,2,3,23,1,0,0.8333,11.5,1.5,280,0.4893,0.2922,0.3566,0.2821,90.8699,2376.7025,,0.45,0.55
681347,Mike Burrows,HOU,26,5,71,18,17.667,13,3,3,1.5,6,17,0,0,1.0556,8.5,3,280,0.5393,0.2794,0.3256,0.3107,89.6254,2151.3393,,0.3542,0.5417
681517,Kyle Leahy,STL,28,5,70,17.667,17.667,14,9,9,4.5849,5,20,3,0,1.0755,10.1887,2.5472,280,0.5607,0.1825,0.2358,0.2857,89.7692,2193.4332,,0.3778,0.6444
650633,Michael King,SD,30,5,84,17.667,17.667,26,20,20,10.1887,7,17,9,1,1.8679,8.6604,3.566,338,0.5178,0.2298,0.2515,0.2633,88.6855,2371.8314,,0.5085,0.4068
671096,Andrew Abbott,CIN,26,6,89,17.667,17.667,28,23,25,11.717,8,22,6,1,2.0377,11.2075,4.0755,362,0.4392,0.2934,0.2906,0.2845,87.8506,2400.4392,,0.5,0.4138
813349,Connelly Early,BOS,23,5,68,17,17.333,11,3,4,1.5882,5,16,0,2,0.9412,8.4706,2.6471,254,0.5354,0.296,0.2797,0.2953,88.8319,2155.9956,,0.4,0.4667
669194,Ryne Nelson,AZ,28,5,65,17,16.667,13,6,6,3.1765,2,23,3,1,0.8824,12.1765,1.0588,260,0.5346,0.3106,0.314,0.3115,92.0173,2422.3692,,0.5128,0.4872
696270,Ryan Johnson,LAA,23,5,72,16.667,17.333,15,7,7,3.78,4,18,1,1,1.14,9.72,2.16,276,0.4746,0.2406,0.3241,0.2935,88.75,2236.3358,,0.3673,0.5918
663436,Davis Martin,CWS,29,5,66,16.667,16.667,9,6,6,3.24,8,13,1,1,1.02,7.02,4.32,254,0.4606,0.2523,0.2263,0.2677,90.4555,2430.5709,,0.3409,0.5227
806960,Luis Morales,ATH,23,5,78,16.333,16.667,20,13,14,7.1633,10,15,3,0,1.8367,8.2653,5.5102,304,0.4572,0.2031,0.2061,0.2401,92.3609,2538.2473,,0.5472,0.4528
682227,Brandon Williamson,CIN,27,5,63,16.333,16,12,3,3,1.6531,3,15,2,1,0.9184,8.2653,1.6531,247,0.4818,0.192,0.3516,0.2672,88.0691,2264.3984,,0.3409,0.2727
641743,Anthony Kay,CWS,30,5,66,16.333,16,13,4,4,2.2041,6,15,3,1,1.1633,8.2653,3.3061,266,0.4398,0.2891,0.3087,0.2782,90.5845,2268.7283,,0.3864,0.3636
660761,José Suarez,ATL,28,5,65,16,15.667,11,6,6,3.375,8,14,2,0,1.1875,7.875,4.5,242,0.4628,0.3364,0.2538,0.3058,86.7092,2160.645,,0.4651,0.5349
702070,Noah Cameron,KC,26,5,74,16,15.667,23,11,11,6.1875,5,11,4,2,1.75,6.1875,2.8125,291,0.4674,0.2444,0.2387,0.2509,86.3048,2146.1134,,0.4286,0.375
666142,Cole Ragans,KC,28,5,73,16,15.333,21,13,13,7.3125,5,23,2,2,1.625,12.9375,2.8125,279,0.4803,0.3355,0.3379,0.2867,90.2373,2398.0502,,0.4651,0.3256
700712,Walbert Urena,LAA,22,6,63,15.667,16,13,8,8,4.5957,5,14,0,1,1.1489,8.0426,2.8723,243,0.4486,0.3519,0.306,0.3292,94.3185,2154.6626,,0.3023,0.6744
678368,Valente Bellozo,COL,26,5,65,15.667,16,14,11,12,6.3191,4,9,3,1,1.1489,5.1702,2.2979,256,0.4766,0.1905,0.2985,0.25,84.8462,2216.4822,,0.3529,0.3333
663554,Casey Mize,DET,28,5,75,15.333,15.667,18,12,15,7.0435,10,12,3,3,1.8261,7.0435,5.8696,285,0.4772,0.2128,0.2886,0.2246,90.0968,2089.9404,,0.32,0.5
656641,Jacob Latz,TEX,29,5,72,15.333,15.333,18,14,16,8.2174,8,15,3,0,1.6957,8.8043,4.6957,253,0.4348,0.2941,0.3427,0.3162,87.4101,2192.489,,0.3673,0.2857
666201,Alek Manoah,LAA,28,5,76,15.333,14.333,23,16,16,9.3913,14,13,5,0,2.413,7.6304,8.2174,307,0.4332,0.2348,0.2529,0.2573,87.3778,2117.8008,,0.4694,0.2653
